PRISM Time Series Data
Location:  Lat: 47.4902   Lon: -121.8047   Elev: 469ft
"Climate variables: ppt,tmean,tdmean"
Spatial resolution: 4km
Period: 2008-01-01 - 2021-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2024-Jul-11
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmean (degrees F),tdmean (degrees F)
2009-12-13,0.00,27.6,23.2
2009-12-14,0.11,32.1,29.6
2009-12-15,0.36,36.6,35.1
2009-12-16,0.51,40.9,40.4
2009-12-17,0.53,43.9,43.1
2009-12-18,0.01,42.4,41.6
2009-12-19,0.50,44.7,42.8
2009-12-20,0.34,44.9,43.5
2009-12-21,0.64,47.3,46.9
2009-12-22,0.26,41.5,37.6
2009-12-23,0.01,37.4,34.0
2009-12-24,0.00,36.3,32.9
2009-12-25,0.00,34.0,29.8
2009-12-26,0.00,34.7,27.3
2009-12-27,0.00,37.3,25.2
2009-12-28,0.00,36.9,27.6
2009-12-29,0.00,36.8,31.6
2009-12-30,0.04,32.5,31.1
2009-12-31,0.12,39.6,37.4
2010-01-01,0.60,40.4,39.6
2010-01-02,1.08,45.3,44.3
2010-01-03,0.18,43.3,42.2
2010-01-04,0.21,41.8,41.1
2010-01-05,0.82,44.2,44.2
2010-01-06,0.40,44.9,43.7
2010-01-07,0.00,41.5,30.8
2010-01-08,0.22,39.4,29.6
2010-01-09,0.91,41.6,40.2
2010-01-10,0.02,45.2,41.9
2010-01-11,0.21,46.4,41.8
2010-01-12,0.45,47.5,45.3
2010-01-13,0.42,48.1,46.2
2010-01-14,1.07,47.8,44.6
2010-01-15,0.33,45.6,41.9
2010-01-16,0.64,45.1,41.7
2010-01-17,0.04,41.0,39.9
2010-01-18,0.03,48.2,42.3
2010-01-19,0.00,50.6,37.5
2010-01-20,0.00,49.5,37.3
2010-01-21,0.00,46.9,37.3
2010-01-22,0.00,46.1,35.2
2010-01-23,0.04,41.6,37.0
2010-01-24,0.10,39.9,38.1
2010-01-25,0.71,39.0,37.9
2010-01-26,0.01,43.3,38.7
2010-01-27,0.01,41.0,37.7
2010-01-28,0.00,41.2,36.4
2010-01-29,0.00,44.8,36.7
2010-01-30,0.07,47.6,40.3
2010-01-31,0.17,44.3,43.7
2010-02-01,0.07,43.9,42.9
2010-02-02,0.07,43.2,40.4
2010-02-03,0.00,45.6,39.7
2010-02-04,0.08,43.9,40.8
2010-02-05,0.09,46.7,39.3
2010-02-06,0.02,47.9,40.7
2010-02-07,0.11,48.1,40.1
2010-02-08,0.02,46.7,43.7
2010-02-09,0.00,43.8,40.2
2010-02-10,0.00,40.1,35.6
2010-02-11,0.19,38.1,37.9
2010-02-12,0.25,46.8,44.3
2010-02-13,0.43,46.3,42.1
2010-02-14,0.30,45.7,43.3
2010-02-15,0.10,45.2,43.2
2010-02-16,0.30,45.6,41.8
2010-02-17,0.11,46.0,40.7
2010-02-18,0.00,44.2,36.7
2010-02-19,0.00,46.2,32.8
2010-02-20,0.00,45.0,31.8
2010-02-21,0.00,42.9,30.1
2010-02-22,0.00,42.8,28.2
2010-02-23,0.00,44.1,28.0
2010-02-24,0.19,41.6,36.1
2010-02-25,0.45,45.5,42.3
2010-02-26,0.26,48.0,41.6
2010-02-27,0.25,47.3,43.9
2010-02-28,0.03,48.9,43.6
2010-03-01,0.00,47.9,41.8
2010-03-02,0.00,50.3,42.4
2010-03-03,0.46,51.5,44.5
2010-03-04,0.00,45.6,42.0
2010-03-05,0.01,44.2,38.4
2010-03-06,0.00,45.2,36.7
2010-03-07,0.00,46.7,36.6
2010-03-08,0.40,43.4,38.9
2010-03-09,0.00,36.0,30.3
2010-03-10,0.03,37.0,29.6
2010-03-11,0.16,42.5,32.1
2010-03-12,0.89,40.9,40.1
2010-03-13,0.37,43.2,37.6
2010-03-14,0.06,41.4,35.1
2010-03-15,0.00,43.5,36.4
2010-03-16,0.00,52.7,40.6
2010-03-17,0.24,50.7,41.6
2010-03-18,0.06,42.2,34.7
2010-03-19,0.00,41.9,33.5
2010-03-20,0.00,46.0,31.7
2010-03-21,0.16,52.6,37.1
2010-03-22,0.45,49.0,43.3
2010-03-23,0.04,47.1,38.5
2010-03-24,0.00,47.4,38.5
2010-03-25,0.07,51.9,38.8
2010-03-26,0.90,47.8,42.8
2010-03-27,0.06,46.3,38.7
2010-03-28,0.14,49.6,37.9
2010-03-29,1.04,50.3,43.1
2010-03-30,1.14,43.5,38.8
2010-03-31,0.31,41.7,36.7
2010-04-01,0.06,43.5,36.4
2010-04-02,0.17,43.6,35.9
2010-04-03,0.82,42.2,36.7
2010-04-04,0.19,41.5,36.1
2010-04-05,0.21,44.8,35.0
2010-04-06,0.37,45.0,37.4
2010-04-07,0.15,44.9,38.5
2010-04-08,0.46,43.3,39.6
2010-04-09,0.34,42.6,31.7
2010-04-10,0.07,40.8,30.7
2010-04-11,0.00,44.5,30.2
2010-04-12,0.00,50.8,35.5
2010-04-13,0.11,49.8,40.5
2010-04-14,0.20,46.9,39.7
2010-04-15,0.00,49.1,38.0
2010-04-16,0.02,49.6,42.2
2010-04-17,0.02,53.4,45.2
2010-04-18,0.15,53.2,48.6
2010-04-19,0.00,56.9,44.7
2010-04-20,0.01,60.0,46.3
2010-04-21,1.19,51.8,47.2
2010-04-22,0.31,45.0,41.7
2010-04-23,0.01,47.5,39.9
2010-04-24,0.29,49.6,39.3
2010-04-25,0.15,46.0,39.4
2010-04-26,0.02,51.0,39.2
2010-04-27,0.12,54.6,43.0
2010-04-28,0.25,49.1,42.8
2010-04-29,0.77,48.1,40.3
2010-04-30,0.07,49.7,40.0
2010-05-01,0.13,48.7,40.9
2010-05-02,0.30,48.4,42.1
2010-05-03,0.87,47.6,42.6
2010-05-04,0.29,44.4,36.1
2010-05-05,0.37,43.6,36.1
2010-05-06,0.33,42.5,38.7
2010-05-07,0.02,46.5,39.0
2010-05-08,0.00,50.1,39.1
2010-05-09,0.00,50.6,37.1
2010-05-10,0.00,52.9,36.4
2010-05-11,0.03,47.6,43.6
2010-05-12,0.00,51.5,44.6
2010-05-13,0.00,51.6,42.7
2010-05-14,0.00,54.2,42.3
2010-05-15,0.00,57.5,45.2
2010-05-16,0.00,58.6,46.6
2010-05-17,0.02,59.9,48.7
2010-05-18,0.08,60.6,50.7
2010-05-19,0.41,57.1,49.1
2010-05-20,0.60,58.3,44.5
2010-05-21,0.38,47.0,40.8
2010-05-22,0.24,48.2,42.2
2010-05-23,0.66,49.6,42.1
2010-05-24,0.12,48.5,42.5
2010-05-25,0.02,52.6,42.1
2010-05-26,0.14,54.5,48.9
2010-05-27,0.45,51.5,48.9
2010-05-28,0.51,51.2,48.2
2010-05-29,0.91,49.7,48.2
2010-05-30,0.14,46.8,45.9
2010-05-31,0.20,50.0,50.0
2010-06-01,0.27,55.4,51.4
2010-06-02,0.42,55.0,50.3
2010-06-03,0.77,53.0,50.3
2010-06-04,0.24,53.7,44.2
2010-06-05,0.28,53.3,47.7
2010-06-06,0.11,57.9,47.3
2010-06-07,0.28,56.7,54.1
2010-06-08,0.09,55.9,49.6
2010-06-09,0.79,58.0,50.1
2010-06-10,0.41,57.1,50.8
2010-06-11,0.43,54.8,50.2
2010-06-12,0.01,52.7,49.1
2010-06-13,0.00,59.9,49.7
2010-06-14,0.00,57.5,47.4
2010-06-15,0.12,54.7,43.8
2010-06-16,0.57,52.8,44.4
2010-06-17,0.04,51.2,47.3
2010-06-18,0.02,54.1,47.6
2010-06-19,0.00,59.4,49.5
2010-06-20,0.08,55.0,51.6
2010-06-21,0.27,52.3,50.8
2010-06-22,0.00,54.4,49.8
2010-06-23,0.00,60.6,52.0
2010-06-24,0.00,63.8,53.0
2010-06-25,0.00,63.0,53.9
2010-06-26,0.00,59.5,52.4
2010-06-27,0.00,59.8,49.2
2010-06-28,0.00,59.5,52.5
2010-06-29,0.00,61.1,51.5
2010-06-30,0.00,56.3,45.2
2010-07-01,0.00,54.9,42.9
2010-07-02,0.19,54.2,49.7
2010-07-03,0.24,56.0,50.9
2010-07-04,0.00,55.4,48.3
2010-07-05,0.14,54.9,50.5
2010-07-06,0.00,55.0,48.6
2010-07-07,0.00,61.3,51.2
2010-07-08,0.00,70.5,51.4
2010-07-09,0.00,74.3,53.9
2010-07-10,0.00,73.2,55.4
2010-07-11,0.00,69.3,57.9
2010-07-12,0.00,65.0,57.4
2010-07-13,0.00,56.0,47.1
2010-07-14,0.00,57.7,46.6
2010-07-15,0.00,62.5,49.0
2010-07-16,0.00,64.0,52.0
2010-07-17,0.00,58.2,50.7
2010-07-18,0.00,59.7,52.2
2010-07-19,0.00,58.8,51.6
2010-07-20,0.00,59.1,51.8
2010-07-21,0.00,60.9,54.0
2010-07-22,0.00,64.8,55.2
2010-07-23,0.00,57.5,52.2
2010-07-24,0.00,63.2,53.3
2010-07-25,0.00,66.8,54.6
2010-07-26,0.00,67.0,52.6
2010-07-27,0.00,67.4,52.9
2010-07-28,0.00,66.3,54.1
2010-07-29,0.00,63.4,54.7
2010-07-30,0.00,61.2,53.3
2010-07-31,0.00,62.7,54.6
2010-08-01,0.00,62.6,54.2
2010-08-02,0.00,62.0,54.7
2010-08-03,0.00,62.2,56.0
2010-08-04,0.28,64.1,56.8
2010-08-05,0.00,68.4,58.6
2010-08-06,0.00,70.6,58.2
2010-08-07,0.00,62.3,54.7
2010-08-08,0.25,60.8,58.4
2010-08-09,0.11,61.2,55.7
2010-08-10,0.04,59.1,54.7
2010-08-11,0.00,60.0,52.9
2010-08-12,0.00,64.1,54.4
2010-08-13,0.00,64.5,55.3
2010-08-14,0.00,69.9,53.1
2010-08-15,0.00,74.7,51.4
2010-08-16,0.00,77.4,52.8
2010-08-17,0.00,73.7,55.6
2010-08-18,0.00,72.5,54.9
2010-08-19,0.00,63.2,52.6
2010-08-20,0.00,60.5,50.9
2010-08-21,0.00,59.0,47.7
2010-08-22,0.05,58.7,50.1
2010-08-23,0.00,57.2,49.3
2010-08-24,0.00,60.0,47.0
2010-08-25,0.00,66.3,48.9
2010-08-26,0.00,68.0,51.5
2010-08-27,0.07,57.6,50.1
2010-08-28,0.00,55.9,46.6
2010-08-29,0.00,55.6,46.8
2010-08-30,0.00,54.7,46.6
2010-08-31,0.03,58.4,46.2
2010-09-01,1.63,53.7,52.1
2010-09-02,0.02,58.1,50.7
2010-09-03,0.00,61.7,48.3
2010-09-04,0.00,67.2,51.5
2010-09-05,0.04,59.9,48.0
2010-09-06,0.10,56.4,47.0
2010-09-07,0.53,55.2,52.2
2010-09-08,0.55,58.2,53.3
2010-09-09,0.14,56.3,53.0
2010-09-10,0.04,55.3,50.4
2010-09-11,0.05,56.3,49.5
2010-09-12,0.00,57.8,48.6
2010-09-13,0.00,60.3,53.3
2010-09-14,0.00,61.9,54.7
2010-09-15,0.00,60.7,53.7
2010-09-16,0.30,61.1,57.1
2010-09-17,0.16,61.9,59.6
2010-09-18,0.35,62.2,59.2
2010-09-19,0.57,65.8,59.9
2010-09-20,0.71,59.9,56.1
2010-09-21,0.48,55.8,51.5
2010-09-22,0.00,54.9,47.6
2010-09-23,0.00,55.4,48.7
2010-09-24,0.30,55.3,50.3
2010-09-25,0.00,58.0,51.8
2010-09-26,0.09,63.1,53.7
2010-09-27,0.26,64.0,60.1
2010-09-28,0.08,67.2,63.6
2010-09-29,0.08,57.8,55.2
2010-09-30,0.00,55.6,50.9
2010-10-01,0.00,59.6,51.7
2010-10-02,0.02,56.9,54.5
2010-10-03,0.00,57.6,52.1
2010-10-04,0.02,54.1,50.5
2010-10-05,0.00,50.8,45.9
2010-10-06,0.00,51.8,45.1
2010-10-07,0.00,55.0,46.3
2010-10-08,0.03,53.7,50.5
2010-10-09,0.14,58.0,52.1
2010-10-10,1.65,58.6,58.1
2010-10-11,0.35,52.0,49.1
2010-10-12,0.00,51.2,44.1
2010-10-13,0.00,52.2,43.5
2010-10-14,0.00,55.2,41.9
2010-10-15,0.25,53.3,45.7
2010-10-16,0.00,46.4,37.7
2010-10-17,0.00,44.9,37.9
2010-10-18,0.00,44.8,37.4
2010-10-19,0.00,48.2,41.0
2010-10-20,0.00,51.1,43.5
2010-10-21,0.00,54.2,44.7
2010-10-22,0.10,49.0,48.1
2010-10-23,0.03,53.0,46.5
2010-10-24,0.51,51.7,47.7
2010-10-25,1.19,48.9,44.7
2010-10-26,1.13,47.6,42.6
2010-10-27,0.83,44.8,42.5
2010-10-28,0.02,50.1,42.5
2010-10-29,0.21,49.8,46.1
2010-10-30,0.02,48.6,43.7
2010-10-31,0.47,45.0,44.3
2010-11-01,0.16,51.1,43.4
2010-11-02,1.57,53.1,50.8
2010-11-03,0.00,53.4,46.7
2010-11-04,0.00,56.5,42.3
2010-11-05,0.00,56.4,46.3
2010-11-06,0.19,50.6,47.8
2010-11-07,0.87,50.0,49.7
2010-11-08,0.15,47.9,43.2
2010-11-09,0.05,44.5,38.3
2010-11-10,0.12,41.6,39.0
2010-11-11,0.00,41.7,37.1
2010-11-12,0.25,42.5,40.1
2010-11-13,0.17,44.7,39.5
2010-11-14,0.51,44.0,43.1
2010-11-15,0.31,48.3,48.3
2010-11-16,0.54,51.0,48.1
2010-11-17,0.08,45.9,40.7
2010-11-18,0.77,42.9,38.9
2010-11-19,0.28,40.2,36.8
2010-11-20,0.02,41.4,36.3
2010-11-21,0.00,37.5,30.0
2010-11-22,0.18,31.7,26.6
2010-11-23,0.50,25.4,21.0
2010-11-24,0.00,18.2,7.7
2010-11-25,0.06,20.5,15.9
2010-11-26,0.36,32.8,30.9
2010-11-27,0.46,37.1,36.9
2010-11-28,0.35,35.0,35.0
2010-11-29,0.03,35.9,34.4
2010-11-30,0.48,37.3,35.2
2010-12-01,0.76,40.8,40.7
2010-12-02,0.07,39.7,37.4
2010-12-03,0.05,38.8,37.3
2010-12-04,0.00,38.5,32.7
2010-12-05,0.00,37.8,29.8
2010-12-06,0.00,39.6,31.9
2010-12-07,0.01,41.6,37.4
2010-12-08,0.50,47.4,40.8
2010-12-09,0.74,46.9,42.9
2010-12-10,1.05,44.5,42.5
2010-12-11,0.07,42.0,39.0
2010-12-12,2.40,47.1,41.5
2010-12-13,1.78,50.8,50.4
2010-12-14,0.91,47.2,46.0
2010-12-15,0.54,40.9,37.2
2010-12-16,0.22,40.3,36.2
2010-12-17,0.01,39.9,33.9
2010-12-18,0.00,40.2,27.0
2010-12-19,0.04,38.6,30.8
2010-12-20,0.01,38.6,30.3
2010-12-21,0.00,39.4,32.6
2010-12-22,0.00,43.2,33.9
2010-12-23,0.00,41.8,36.1
2010-12-24,0.09,43.7,36.1
2010-12-25,0.47,46.7,40.1
2010-12-26,0.14,45.8,41.2
2010-12-27,0.27,41.7,36.2
2010-12-28,0.51,41.1,38.4
2010-12-29,0.13,40.5,36.5
2010-12-30,0.24,33.0,28.8
2010-12-31,0.00,27.2,20.2
2011-01-01,0.00,26.2,18.0
2011-01-02,0.00,28.7,20.2
2011-01-03,0.00,30.3,23.3
2011-01-04,0.00,31.2,24.4
2011-01-05,0.14,31.1,29.2
2011-01-06,0.56,38.9,38.9
2011-01-07,0.87,43.7,43.7
2011-01-08,0.99,40.8,39.7
2011-01-09,0.14,35.7,33.8
2011-01-10,0.03,33.1,31.7
2011-01-11,0.01,31.1,23.0
2011-01-12,0.40,31.5,22.5
2011-01-13,1.52,40.4,40.4
2011-01-14,1.05,47.0,47.0
2011-01-15,0.48,51.0,47.5
2011-01-16,1.43,48.0,47.9
2011-01-17,1.47,50.7,49.6
2011-01-18,0.21,45.3,40.4
2011-01-19,0.14,38.3,36.3
2011-01-20,0.00,38.0,33.0
2011-01-21,0.93,37.4,37.1
2011-01-22,1.13,44.3,43.4
2011-01-23,0.08,42.8,39.0
2011-01-24,0.20,43.2,41.9
2011-01-25,0.60,45.7,44.8
2011-01-26,0.01,44.4,43.1
2011-01-27,0.00,45.9,38.9
2011-01-28,0.00,43.8,37.0
2011-01-29,0.76,43.4,43.4
2011-01-30,0.55,43.8,43.8
2011-01-31,0.02,38.3,30.8
2011-02-01,0.00,36.5,27.0
2011-02-02,0.00,36.5,20.7
2011-02-03,0.00,39.3,26.2
2011-02-04,0.39,42.7,37.4
2011-02-05,0.56,46.3,43.9
2011-02-06,0.27,44.0,41.4
2011-02-07,0.49,45.2,43.7
2011-02-08,0.23,41.6,36.9
2011-02-09,0.00,37.1,31.3
2011-02-10,0.00,36.1,28.7
2011-02-11,0.00,37.6,30.7
2011-02-12,0.02,39.3,36.5
2011-02-13,0.91,46.7,38.5
2011-02-14,0.19,45.4,39.6
2011-02-15,0.43,43.9,40.3
2011-02-16,0.20,39.9,36.2
2011-02-17,0.10,38.3,32.8
2011-02-18,0.04,36.8,31.6
2011-02-19,0.00,38.6,29.3
2011-02-20,0.00,34.7,24.1
2011-02-21,0.00,34.5,25.0
2011-02-22,0.29,36.8,31.6
2011-02-23,0.32,35.4,29.8
2011-02-24,0.39,32.4,29.0
2011-02-25,0.01,27.6,21.2
2011-02-26,0.01,24.7,13.0
2011-02-27,0.12,25.5,21.9
2011-02-28,1.06,37.5,33.7
2011-03-01,0.26,37.1,33.4
2011-03-02,0.19,39.1,36.2
2011-03-03,0.36,41.2,35.3
2011-03-04,0.35,38.1,34.3
2011-03-05,0.36,38.8,34.5
2011-03-06,0.03,42.2,35.7
2011-03-07,0.00,40.0,33.9
2011-03-08,0.08,40.0,32.3
2011-03-09,0.36,44.1,38.3
2011-03-10,1.71,46.2,44.1
2011-03-11,0.23,45.7,38.1
2011-03-12,0.01,44.5,35.3
2011-03-13,0.29,43.5,39.7
2011-03-14,0.64,45.8,41.0
2011-03-15,0.22,47.5,40.5
2011-03-16,0.81,46.4,40.7
2011-03-17,0.10,42.9,36.7
2011-03-18,0.01,42.9,34.4
2011-03-19,0.42,43.2,36.4
2011-03-20,0.01,42.7,34.5
2011-03-21,0.02,43.3,36.1
2011-03-22,0.14,43.8,38.6
2011-03-23,0.00,43.1,34.1
2011-03-24,0.00,46.7,31.7
2011-03-25,0.21,48.8,38.4
2011-03-26,0.07,45.3,37.7
2011-03-27,0.22,43.7,39.0
2011-03-28,0.18,44.4,39.3
2011-03-29,0.28,45.3,39.5
2011-03-30,1.27,45.5,43.9
2011-03-31,2.27,49.2,47.6
2011-04-01,0.55,48.2,45.4
2011-04-02,1.50,43.3,43.0
2011-04-03,0.52,41.9,37.4
2011-04-04,0.28,42.3,37.0
2011-04-05,0.95,41.3,40.4
2011-04-06,0.65,41.1,37.5
2011-04-07,0.26,39.3,34.4
2011-04-08,0.04,38.7,34.4
2011-04-09,0.00,44.0,35.4
2011-04-10,0.15,46.2,38.6
2011-04-11,0.41,47.4,42.6
2011-04-12,0.06,41.9,35.2
2011-04-13,0.00,44.4,33.6
2011-04-14,0.31,43.2,37.8
2011-04-15,0.52,41.7,37.4
2011-04-16,0.27,44.7,41.7
2011-04-17,0.09,43.7,37.2
2011-04-18,0.09,41.9,32.2
2011-04-19,0.28,41.4,34.1
2011-04-20,0.03,43.2,32.5
2011-04-21,0.09,43.3,33.4
2011-04-22,0.12,42.9,34.1
2011-04-23,0.01,46.1,33.7
2011-04-24,0.00,51.0,34.8
2011-04-25,0.34,47.1,43.1
2011-04-26,0.48,45.9,41.3
2011-04-27,0.22,48.0,40.6
2011-04-28,0.49,43.9,37.5
2011-04-29,0.07,42.6,36.0
2011-04-30,0.07,44.8,37.7
2011-05-01,0.01,43.8,36.7
2011-05-02,0.00,48.4,37.2
2011-05-03,0.48,45.8,40.7
2011-05-04,0.02,45.3,38.3
2011-05-05,0.01,49.4,38.8
2011-05-06,0.22,48.8,43.6
2011-05-07,0.48,48.2,44.2
2011-05-08,0.39,47.2,42.5
2011-05-09,0.12,47.6,41.7
2011-05-10,0.00,49.5,43.4
2011-05-11,0.03,52.7,44.0
2011-05-12,0.45,45.3,42.9
2011-05-13,0.00,48.0,36.8
2011-05-14,0.00,50.9,40.0
2011-05-15,1.56,55.1,47.0
2011-05-16,0.77,48.4,45.1
2011-05-17,0.15,46.6,39.9
2011-05-18,0.00,49.2,37.0
2011-05-19,0.00,51.4,35.9
2011-05-20,0.00,51.5,37.9
2011-05-21,0.00,54.9,39.9
2011-05-22,0.16,49.9,45.5
2011-05-23,0.00,50.9,41.8
2011-05-24,0.00,50.9,43.3
2011-05-25,0.05,54.3,43.1
2011-05-26,0.59,50.0,45.1
2011-05-27,0.23,50.9,42.7
2011-05-28,0.35,48.9,42.3
2011-05-29,0.01,50.8,41.7
2011-05-30,0.06,52.7,46.3
2011-05-31,0.03,51.7,43.4
2011-06-01,0.31,52.8,47.7
2011-06-02,0.44,52.5,47.4
2011-06-03,0.17,52.0,46.8
2011-06-04,0.00,57.2,45.9
2011-06-05,0.00,61.6,44.3
2011-06-06,0.00,59.8,50.1
2011-06-07,0.00,61.3,50.5
2011-06-08,0.53,53.7,46.7
2011-06-09,0.23,53.9,48.8
2011-06-10,0.02,57.8,49.8
2011-06-11,0.00,55.6,47.8
2011-06-12,0.00,53.6,45.7
2011-06-13,0.10,56.6,48.0
2011-06-14,0.07,58.1,49.6
2011-06-15,0.22,55.1,45.6
2011-06-16,0.10,52.5,45.0
2011-06-17,0.00,54.4,45.4
2011-06-18,0.15,57.1,46.8
2011-06-19,0.46,53.9,52.1
2011-06-20,0.04,54.7,50.5
2011-06-21,0.00,58.7,50.6
2011-06-22,0.00,63.6,51.3
2011-06-23,0.00,56.7,49.8
2011-06-24,0.54,55.6,46.6
2011-06-25,0.35,56.2,48.3
2011-06-26,0.01,55.6,45.9
2011-06-27,0.00,57.7,48.0
2011-06-28,0.00,62.6,53.4
2011-06-29,0.01,63.3,56.5
2011-06-30,0.09,59.2,51.0
2011-07-01,0.01,57.4,47.2
2011-07-02,0.00,59.3,47.4
2011-07-03,0.00,64.3,49.9
2011-07-04,0.00,59.2,48.9
2011-07-05,0.00,60.6,45.7
2011-07-06,0.00,62.8,46.4
2011-07-07,0.00,66.4,53.3
2011-07-08,0.00,57.4,49.0
2011-07-09,0.00,55.8,43.7
2011-07-10,0.00,57.8,45.0
2011-07-11,0.00,60.6,48.4
2011-07-12,0.00,61.9,51.2
2011-07-13,0.53,60.3,54.9
2011-07-14,0.31,60.8,53.1
2011-07-15,0.09,58.4,54.1
2011-07-16,0.04,63.5,55.4
2011-07-17,0.38,62.1,57.9
2011-07-18,0.06,58.1,55.2
2011-07-19,0.00,60.9,53.5
2011-07-20,0.03,57.0,52.8
2011-07-21,0.05,63.1,52.9
2011-07-22,0.21,57.8,51.1
2011-07-23,0.00,60.5,48.4
2011-07-24,0.00,63.7,50.4
2011-07-25,0.00,67.8,53.2
2011-07-26,0.21,59.1,55.6
2011-07-27,0.00,61.4,52.5
2011-07-28,0.00,62.5,51.3
2011-07-29,0.00,62.7,52.3
2011-07-30,0.00,64.1,54.3
2011-07-31,0.00,65.1,53.6
2011-08-01,0.03,59.4,52.6
2011-08-02,0.00,62.7,50.6
2011-08-03,0.00,64.7,52.0
2011-08-04,0.00,66.4,53.6
2011-08-05,0.00,65.6,54.6
2011-08-06,0.00,62.3,55.7
2011-08-07,0.02,63.5,55.2
2011-08-08,0.00,63.5,54.1
2011-08-09,0.00,62.7,52.6
2011-08-10,0.00,62.4,51.4
2011-08-11,0.00,61.5,51.4
2011-08-12,0.00,62.8,51.7
2011-08-13,0.00,62.7,52.5
2011-08-14,0.00,59.8,50.7
2011-08-15,0.00,62.0,51.4
2011-08-16,0.00,61.5,49.4
2011-08-17,0.00,62.2,46.5
2011-08-18,0.00,62.1,47.5
2011-08-19,0.00,60.9,51.1
2011-08-20,0.00,63.1,51.0
2011-08-21,0.00,68.5,53.2
2011-08-22,0.00,71.1,56.1
2011-08-23,0.41,65.9,59.4
2011-08-24,0.05,65.5,57.7
2011-08-25,0.00,68.9,56.8
2011-08-26,0.00,69.1,56.7
2011-08-27,0.00,68.7,56.2
2011-08-28,0.00,66.9,51.7
2011-08-29,0.00,65.1,54.1
2011-08-30,0.00,62.2,53.8
2011-08-31,0.00,59.7,49.7
2011-09-01,0.01,56.0,48.0
2011-09-02,0.00,60.0,48.3
2011-09-03,0.00,59.9,47.5
2011-09-04,0.00,64.7,44.8
2011-09-05,0.00,66.6,45.0
2011-09-06,0.00,65.4,48.3
2011-09-07,0.00,66.4,50.2
2011-09-08,0.00,67.5,49.3
2011-09-09,0.00,67.8,52.2
2011-09-10,0.00,68.8,52.7
2011-09-11,0.00,68.6,54.1
2011-09-12,0.00,70.4,53.8
2011-09-13,0.00,62.1,54.1
2011-09-14,0.00,60.0,53.4
2011-09-15,0.01,60.5,52.6
2011-09-16,0.03,56.9,49.3
2011-09-17,0.00,54.4,44.2
2011-09-18,0.28,54.7,49.8
2011-09-19,0.48,58.5,56.1
2011-09-20,0.01,56.5,47.9
2011-09-21,0.00,61.1,48.8
2011-09-22,0.00,65.6,52.2
2011-09-23,0.00,67.3,59.1
2011-09-24,0.00,68.8,60.0
2011-09-25,0.02,66.7,56.1
2011-09-26,0.19,59.9,49.5
2011-09-27,0.98,55.8,52.2
2011-09-28,0.14,55.0,48.9
2011-09-29,0.00,54.6,43.2
2011-09-30,0.00,61.3,45.1
2011-10-01,0.04,57.6,48.6
2011-10-02,0.03,55.1,49.5
2011-10-03,0.12,55.5,50.9
2011-10-04,0.14,53.1,50.3
2011-10-05,0.15,54.6,47.0
2011-10-06,0.70,50.8,47.7
2011-10-07,0.22,51.2,48.8
2011-10-08,0.14,50.0,48.3
2011-10-09,0.06,53.7,48.4
2011-10-10,0.08,53.7,49.2
2011-10-11,1.22,54.4,50.6
2011-10-12,1.01,52.3,49.0
2011-10-13,0.02,50.2,45.3
2011-10-14,0.00,49.5,43.9
2011-10-15,0.03,47.9,44.4
2011-10-16,0.00,47.8,42.5
2011-10-17,0.00,45.2,41.9
2011-10-18,0.00,49.1,41.5
2011-10-19,0.00,56.2,43.7
2011-10-20,0.02,52.3,47.7
2011-10-21,0.02,52.7,48.3
2011-10-22,0.87,52.1,51.6
2011-10-23,1.06,55.8,54.1
2011-10-24,0.16,50.5,45.5
2011-10-25,0.12,46.1,40.6
2011-10-26,0.00,44.6,37.2
2011-10-27,0.08,42.9,38.1
2011-10-28,0.00,45.0,37.8
2011-10-29,0.77,49.4,42.8
2011-10-30,0.21,48.5,42.3
2011-10-31,0.85,49.3,46.6
2011-11-01,0.03,43.0,39.2
2011-11-02,0.00,42.2,34.4
2011-11-03,0.33,43.4,35.7
2011-11-04,0.01,42.9,36.7
2011-11-05,0.00,38.1,35.1
2011-11-06,0.00,39.0,32.2
2011-11-07,0.00,38.0,32.6
2011-11-08,0.08,41.7,39.5
2011-11-09,0.00,47.8,40.0
2011-11-10,0.00,47.3,40.1
2011-11-11,0.00,47.1,35.9
2011-11-12,0.55,41.5,36.1
2011-11-13,1.02,40.4,38.5
2011-11-14,0.13,43.5,40.5
2011-11-15,0.58,38.6,34.9
2011-11-16,0.04,38.4,31.2
2011-11-17,0.91,40.9,38.0
2011-11-18,0.36,39.3,35.2
2011-11-19,0.10,34.7,32.4
2011-11-20,0.00,33.1,29.1
2011-11-21,0.07,32.5,27.9
2011-11-22,0.71,40.4,39.0
2011-11-23,2.01,45.0,43.2
2011-11-24,1.00,43.0,39.7
2011-11-25,0.48,40.2,36.2
2011-11-26,0.03,40.9,34.0
2011-11-27,0.17,45.2,40.9
2011-11-28,1.09,46.3,41.5
2011-11-29,0.02,39.1,35.4
2011-11-30,0.42,38.5,36.8
2011-12-01,0.01,37.2,36.2
2011-12-02,0.05,34.3,33.6
2011-12-03,0.00,35.5,33.1
2011-12-04,0.00,34.4,32.7
2011-12-05,0.00,34.3,31.1
2011-12-06,0.00,32.3,29.7
